Fecha sistema,Fecha (DD/MM/AAAA),Nombre del índice,Índice,Variación absoluta,Variación porcentual
08/09/2026 12:56:07,2008-03-27 00:00:00,Índice del mercado bursátil colombiano - COLCAP,887.8864,-3.8418,-0.4308
08/09/2026 12:56:07,2008-03-28 00:00:00,Índice del mercado bursátil colombiano - COLCAP,890.0251,2.1387,0.2409
08/09/2026 12:56:07,2008-03-31 00:00:00,Índice del mercado bursátil colombiano - COLCAP,889.2841,-0.741,-0.0833
08/09/2026 12:56:07,2008-04-01 00:00:00,Índice del mercado bursátil colombiano - COLCAP,913.7326,24.4485,2.7492
08/09/2026 12:56:07,2008-04-02 00:00:00,Índice del mercado bursátil colombiano - COLCAP,919.2985,5.5659,0.6091
08/09/2026 12:56:07,2008-04-03 00:00:00,Índice del mercado bursátil colombiano - COLCAP,923.0373,3.7388,0.4067
08/09/2026 12:56:07,2008-04-04 00:00:00,Índice del mercado bursátil colombiano - COLCAP,921.9986,-1.0387,-0.1125
08/09/2026 12:56:07,2008-04-07 00:00:00,Índice del mercado bursátil colombiano - COLCAP,928.3232,6.3246,0.686
08/09/2026 12:56:07,2008-04-08 00:00:00,Índice del mercado bursátil colombiano - COLCAP,930.5726,2.2494,0.2423
08/09/2026 12:56:07,2008-04-09 00:00:00,Índice del mercado bursátil colombiano - COLCAP,936.5257,5.9531,0.6397
08/09/2026 12:56:07,2008-04-10 00:00:00,Índice del mercado bursátil colombiano - COLCAP,922.0535,-14.4722,-1.5453
08/09/2026 12:56:07,2008-04-11 00:00:00,Índice del mercado bursátil colombiano - COLCAP,917.7291,-4.3244,-0.469
08/09/2026 12:56:07,2008-04-14 00:00:00,Índice del mercado bursátil colombiano - COLCAP,917.5709,-0.1582,-0.0172
08/09/2026 12:56:07,2008-04-15 00:00:00,Índice del mercado bursátil colombiano - COLCAP,931.6134,14.0425,1.5304
08/09/2026 12:56:07,2008-04-16 00:00:00,Índice del mercado bursátil colombiano - COLCAP,936.5458,4.9324,0.5294
08/09/2026 12:56:07,2008-04-17 00:00:00,Índice del mercado bursátil colombiano - COLCAP,934.6571,-1.8887,-0.2017
08/09/2026 12:56:07,2008-04-18 00:00:00,Índice del mercado bursátil colombiano - COLCAP,952.82,18.1629,1.9433
08/09/2026 12:56:07,2008-04-21 00:00:00,Índice del mercado bursátil colombiano - COLCAP,953.2528,0.4328,0.0454
08/09/2026 12:56:07,2008-04-22 00:00:00,Índice del mercado bursátil colombiano - COLCAP,950.9711,-2.2817,-0.2394
08/09/2026 12:56:07,2008-04-23 00:00:00,Índice del mercado bursátil colombiano - COLCAP,942.2131,-8.758,-0.921
08/09/2026 12:56:07,2008-04-24 00:00:00,Índice del mercado bursátil colombiano - COLCAP,949.5175,7.3044,0.7752
08/09/2026 12:56:07,2008-04-25 00:00:00,Índice del mercado bursátil colombiano - COLCAP,953.0722,3.5547,0.3744
08/09/2026 12:56:07,2008-04-28 00:00:00,Índice del mercado bursátil colombiano - COLCAP,962.4019,9.3297,0.9789
08/09/2026 12:56:07,2008-04-29 00:00:00,Índice del mercado bursátil colombiano - COLCAP,969.1061,6.7042,0.6966
08/09/2026 12:56:07,2008-04-30 00:00:00,Índice del mercado bursátil colombiano - COLCAP,985.9506,16.8445,1.7381
08/09/2026 12:56:07,2008-05-02 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1012.3067,26.3561,2.6732
08/09/2026 12:56:07,2008-05-06 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1032.0792,19.7725,1.9532
08/09/2026 12:56:07,2008-05-07 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1010.9633,-21.1159,-2.046
08/09/2026 12:56:07,2008-05-08 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1001.2391,-9.7242,-0.9619
08/09/2026 12:56:07,2008-05-09 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1008.4879,7.2488,0.724
08/09/2026 12:56:07,2008-05-12 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1010.2715,1.7836,0.1769
08/09/2026 12:56:07,2008-05-13 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1015.6337,5.3622,0.5308
08/09/2026 12:56:07,2008-05-14 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1027.7436,12.1099,1.1923
08/09/2026 12:56:07,2008-05-15 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1024.5775,-3.1661,-0.3081
08/09/2026 12:56:07,2008-05-16 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1016.1089,-8.4686,-0.8265
08/09/2026 12:56:07,2008-05-19 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1016.0957,-0.0132,-0.0013
08/09/2026 12:56:07,2008-05-20 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1009.4831,-6.6126,-0.6508
